,Status,Brkr Code,Side,Security,Exch Code,Qty,LmtPx,TIF,FillQty,AvgPx,Data Export Restricted,Data Export Restricted,Data Export Restricted,Data Export Restricted,AvgPx Vs OMS Benchmark Px (Bps),FillQty % Avg Vol 20D,Avg Vol 20D,Data Export Restricted,Volatil 30D,Bid Ask Sprd,Handling Inst,% Filled,GICS Sector,Working Qty,Curncy,Strategy Name,Data Export Restricted,Create Time (As of)
MODR,Filled,ICBI,Buy,SMH,US,71,MKT,DAY,71,424.14,,,,,,0.000639819769079133,11096875,,55.8821326962082,0.48,AUTO,100,,0,USD,NONE,,02/25/26
MODR,Filled,BTIA,Buy,COWZ,UF,311,MKT,DAY,311,64.24,,,,,,0.353880187625483,87882.8515625,,12.2724471353339,0.02,ANY,100,,0,USD,CARE,,02/25/26
MODR,Filled,ICBI,Sell,GOOG,UW,80,MKT,DAY,80,310.5,,,,,,0.000950325985571201,8418164,,32.7753573050057,0.06,AUTO,100,Communication Services,0,USD,NONE,,02/24/26
MODR,Filled,BTIA,Buy,XLE,UP,200,MKT,DAY,200,55.11,,,,,,0.00204254686393993,9791697,,26.2914103297151,0.01,ANY,100,,0,USD,CARE,,02/24/26
MODR,Filled,ICBI,Buy,KO,UN,250,MKT,DAY,250,80.7,,,,,,0.004034070793747,6197214,,21.9640427680401,0.01,AUTO,100,Consumer Staples,0,USD,NONE,,02/24/26
MODR,Filled,ICBI,Buy,MSFT,UW,20,MKT,DAY,20,384,,,,,,0.000159190902685646,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/24/26
MODR,Filled,BTIA,Buy,FDMT,US,1000,9,GTD,1000,9,,,,,,0.11152961048423,896622.875,,90.4508722750569,0.03,ANY,100,Health Care,0,USD,CARE,,02/23/26
MODR,Filled,BTIA,Buy,OCS,UQ,500,29,GTD,500,29,,,,,,0.153823716290614,325047.40625,,172.315492020922,0.08,ANY,100,Health Care,0,USD,CARE,,02/23/26
MODR,Filled,BTIA,Sell,TNA,UP,400,MKT,GTD,400,53.89,,,,,,0.0198794645938349,2012126.625,,68.7020491633464,0.01,ANY,100,,0,USD,CARE,,02/20/26
MODR,Filled,BTIA,Sell,IONS,UW,250,MKT,GTD,250,82.85,,,,,,0.0366516550650434,682097.4375,,25.0228701533766,0.08,ANY,100,Health Care,0,USD,CARE,,02/20/26
MODR,Filled,BTIA,Sell,BTAI,UR,62,MKT,GTD,62,1.59,,,,,,0.0403849187569017,153522.65625,,69.8579506175011,0.01,ANY,100,Health Care,0,USD,CARE,,02/20/26
MODR,Filled,ICBI,Sell,BRK/B,US,40,MKT,GTD,40,495.8,,,,,,0.000710954890623145,5626236,,13.2341656602836,0.13,MAN,100,Financials,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,ISRG,UW,64,MKT,DAY,64,497.15,,,,,,0.00685091250274137,934182.125,,38.4410178463567,0.07,AUTO,100,Health Care,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,SMH,US,116,MKT,DAY,116,407.51,,,,,,0.0010453393410307,11096875,,55.8821326962082,0.48,AUTO,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,SMH,US,77,MKT,DAY,77,407.51,,,,,,0.000693889045339341,11096875,,55.8821326962082,0.48,AUTO,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,ISRG,UW,87,MKT,DAY,87,497.15,,,,,,0.00931295918341405,934182.125,,38.4410178463567,0.07,AUTO,100,Health Care,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,MSFT,UW,55,MKT,DAY,55,396.31,,,,,,0.000437774982385527,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,INFL,UP,1373,MKT,DAY,1373,52.16013474,,,,,,3.28046670641938,41853.80078125,,16.7350005960293,0.13,MAN,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,ISRG,UW,378,MKT,DAY,378,501.70392857,,,,,,0.0404632019693162,934182.125,,38.4410178463567,0.07,MAN,100,Health Care,0,USD,NONE,,02/20/26
MODR,Filled,BTIA,Buy,PAVE,UF,4654,MKT,DAY,4654,55.455479,,,,,,2.9598519597035,157237.59375,,22.8223966938146,0.03,ANY,100,,0,USD,CARE,,02/20/26
MODR,Filled,ICBI,Buy,SRUUF,UV,2064,MKT,DAY,2064,21.3691376,,,,,,0.580619452246098,355482.40625,,29.0221168134432,,MAN,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,INFL,UP,385,MKT,DAY,385,52.16498701,,,,,,0.9198686685881,41853.80078125,,16.7350005960293,0.13,MAN,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Sell,TIP,UP,400,MKT,DAY,400,111.31,,,,,,0.0740778122599705,539972.75,,5.14215177806949,0.01,AUTO,100,,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,CRM,UN,2000,MKT,DAY,2000,185.32,,,,,,0.0349868834174068,5716428,,53.8584991337967,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,AMZN,UW,2000,MKT,DAY,2000,204.76,,,,,,0.0136762320284909,14623911,,33.1024499736,0.02,AUTO,100,Consumer Discretionary,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,ORCL,US,2500,MKT,DAY,2500,151.85,,,,,,0.0091836863640331,27222184,,74.3350026042792,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,9888,HK,700,MKT,DAY,700,129.7,,,,,,0.00506772654547561,13812900,,43.16741,0.1,AUTO,100,Communication Services,0,HKD,NONE,,02/20/26
MODR,Filled,ICBI,Buy,MSFT,UW,32,MKT,DAY,32,404.45,,,,,,0.000254705444297034,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/13/26
MODR,Filled,ICBI,Buy,MSFT,UW,37,MKT,DAY,37,404.34,,,,,,0.000294503169968445,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/12/26
MODR,Filled,ICBI,Buy,MSFT,UW,37,MKT,DAY,37,404.34,,,,,,0.000294503169968445,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/12/26
MODR,Filled,ICBI,Buy,MSFT,UW,27,MKT,DAY,27,404.34,,,,,,0.000214907718625622,12563532,,35.5249743262538,0.04,AUTO,100,Information Technology,0,USD,NONE,,02/12/26
MODR,Filled,ICBI,Sell,ASML,UW,17,1450,GTC,17,1450,,,,,,0.00266665385627069,637503.0625,,57.7324724148431,1.14,MAN,100,Information Technology,0,USD,NONE,,02/12/26
MODR,Filled,BTIA,Sell,URNM,UP,330,75,GTC,330,75.13,,,,,,0.183216787099317,180114.5,,59.4282789730494,0.15,ANY,100,,0,USD,CARE,,02/12/26
MODR,Filled,ICBI,Buy,INFL,UP,138,MKT,DAY,138,51.23,,,,,,0.32971915913028,41853.80078125,,16.7350005960293,0.13,AUTO,100,,0,USD,NONE,,02/12/26
MODR,Filled,ICBI,Buy,INFL,UP,972,MKT,DAY,972,51.23,,,,,,2.32236972952632,41853.80078125,,16.7350005960293,0.13,AUTO,100,,0,USD,NONE,,02/12/26
MODR,Filled,ICBI,Sell,TLT,UQ,588,MKT,DAY,588,88.36,,,,,,0.00751201875091864,7827456.5,,9.57929758935427,0.01,AUTO,100,,0,USD,NONE,,02/12/26
MODR,Filled,BTIA,Buy,MCHI,UQ,807,MKT,GTC,807,61.51,,,,,,0.115608292387984,698046.8125,,22.6147359162623,0.01,ANY,100,,0,USD,CARE,,02/12/26
